176
0	46	1
1	47	2
2	48	3
3	49	4
4	50	5
5	50	6
6	51	7
7	52	8
8	52	9
9	53	10
10	54	11
11	54	12
12	55	13
13	15	14
15	56	16
16	57	17
17	58	18
18	59	19
19	60	20
20	61	21
21	62	22
22	63	23
23	64	24
24	65	25
25	66	26
26	67	27
27	68	28
28	69	29
29	70	30
30	71	31
31	72	32
32	73	33
33	46	0
34	46	35
35	74	36
36	75	37
37	76	38
38	77	39
39	78	34
40	79	41
41	80	42
42	59	43
43	61	44
44	81	45
45	82	40
46	47	1
47	48	2
48	49	3
49	50	4
50	51	6
51	52	7
52	53	9
53	54	10
54	55	12
55	56	13
13	56	15
56	57	16
57	58	17
58	59	18
59	60	19
60	61	20
61	62	21
62	63	22
63	64	23
64	65	24
65	66	25
66	67	26
67	68	27
68	69	28
69	70	29
70	71	30
71	72	31
72	78	32
32	78	73
73	34	33
33	34	46
46	47	35
35	83	74
74	84	36
36	84	75
75	85	37
37	86	76
76	87	38
38	87	77
77	88	39
39	88	78
78	73	34
40	85	79
79	89	41
41	89	80
80	90	42
42	90	59
59	60	43
43	60	61
61	62	44
44	62	81
81	91	45
45	91	82
82	87	40
47	92	48
48	93	49
49	94	50
50	94	51
51	95	52
52	95	53
53	96	54
54	96	55
55	97	56
56	97	57
57	97	58
58	90	59
62	64	63
64	66	65
66	68	67
68	70	69
70	88	71
71	88	72
72	88	78
47	83	35
83	92	74
74	98	84
84	99	75
75	79	85
85	86	37
86	40	76
76	40	87
87	100	77
77	70	88
40	86	85
79	75	89
89	101	80
80	102	90
62	64	81
81	103	91
91	104	82
82	104	87
47	83	92
92	93	48
93	94	49
94	95	51
95	98	53
53	101	96
96	97	55
97	90	58
64	103	66
66	105	68
68	100	70
92	106	74
74	106	98
98	107	84
84	107	99
99	89	75
87	105	100
100	70	77
89	99	101
101	102	80
102	97	90
64	103	81
103	108	91
91	108	104
104	105	87
92	106	93
93	106	94
94	98	95
98	107	53
53	107	101
101	102	96
96	102	97
103	108	66
66	108	105
105	100	68
106	109	98
107	101	99
108	105	104
106	109	94
94	109	98
